CREATED_DATE;TRANSACTION_ID;USER_ID;LOẠI GIAO DỊCH;GIÁ TRỊ GIAO DỊCH;TÊN SẢN PHẨM
2023-04-28;43;775;Nạp;13000000;TÍCH LUỸ
2023-04-30;44;707;Nạp;73884954;TÀI KHOẢN TIỀN FINHAY
2023-05-01;45;180;Rút;1950000;CHỨNG KHOÁN
2023-05-01;46;98;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-01;47;80;Nạp;650000;TÍCH LUỸ
2023-05-02;48;80;Nạp;650000;TÍCH LUỸ
2023-05-03;49;68;Rút;650000;TÍCH LUỸ
2023-05-03;50;461;Rút;6500000;TÀI KHOẢN TIỀN FINHAY
2023-05-04;51;59;Nạp;13000000;CHỨNG KHOÁN
2023-05-04;52;35;Rút;650000;CHỨNG KHOÁN
2023-05-04;53;44;Rút;1300000;CHỨNG KHOÁN
2023-05-04;54;410;Rút;13000000;CHỨNG KHOÁN
2023-05-04;55;568;Nạp;6500000;TÀI KHOẢN TIỀN FINHAY
2023-05-04;56;504;Rút;6500000;TÀI KHOẢN TIỀN FINHAY
2023-05-05;57;487;Nạp;1300000;TÀI KHOẢN TIỀN FINHAY
2023-05-06;58;43;Rút;6500000;CHỨNG KHOÁN
2023-05-07;59;445;Nạp;1222000;CHỨNG KHOÁN
2023-05-07;60;341;Nạp;806000;TÀI KHOẢN TIỀN FINHAY
2023-05-08;61;84;Rút;6500000;CHỨNG KHOÁN
2023-05-08;62;759;Nạp;92057654;TÀI KHOẢN TIỀN FINHAY
2023-05-09;63;107;Nạp;650000;CHỨNG KHOÁN
2023-05-09;64;785;Nạp;14741415;TÀI KHOẢN TIỀN FINHAY
2023-05-09;65;38;Rút;650000;TÍCH LUỸ
2023-05-10;66;197;Rút;19500000;TÍCH LUỸ
2023-05-11;67;269;Nạp;26000000;CHỨNG KHOÁN
2023-05-11;68;515;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-11;69;65;Rút;39000000;TÍCH LUỸ
2023-05-11;70;6;Rút;1300000;TÍCH LUỸ
2023-05-13;71;312;Rút;5850156;CHỨNG KHOÁN
2023-05-13;72;151;Rút;9306856;TÀI KHOẢN TIỀN FINHAY
2023-05-13;73;154;Rút;2600000;TÍCH LUỸ
2023-05-14;74;274;Rút;1300000;TÀI KHOẢN TIỀN FINHAY
2023-05-15;75;878;Nạp;1300000;CHỨNG KHOÁN
2023-05-15;76;980;Nạp;14748396;TÀI KHOẢN TIỀN FINHAY
2023-05-15;77;70;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-15;78;48;Nạp;22009000;TÀI KHOẢN TIỀN FINHAY
2023-05-16;79;36;Rút;46330492;TÀI KHOẢN TIỀN FINHAY
2023-05-16;80;924;Rút;28834000;TÀI KHOẢN TIỀN FINHAY
2023-05-17;81;658;Rút;650000;CHỨNG KHOÁN
2023-05-17;82;422;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-17;83;312;Rút;5850000;TÀI KHOẢN TIỀN FINHAY
2023-05-17;84;924;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-17;85;218;Nạp;260000000;TÀI KHOẢN TIỀN FINHAY
2023-05-18;86;132;Rút;25779182;TÀI KHOẢN TIỀN FINHAY
2023-05-18;87;159;Rút;724126;TÀI KHOẢN TIỀN FINHAY
2023-05-18;88;274;Nạp;3900000;TÀI KHOẢN TIỀN FINHAY
2023-05-22;89;868;Nạp;13090402;TÀI KHOẢN TIỀN FINHAY
2023-05-22;90;549;Rút;1326000;TÀI KHOẢN TIỀN FINHAY
2023-05-22;91;953;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-23;92;331;Rút;650000;CHỨNG KHOÁN
2023-05-24;93;578;Nạp;1469000;TÀI KHOẢN TIỀN FINHAY
2023-05-26;94;525;Rút;1469000;CHỨNG KHOÁN
2023-05-27;95;970;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-28;96;465;Rút;1324297;TÍCH LUỸ
2023-05-29;97;736;Rút;735917;TÀI KHOẢN TIỀN FINHAY
2023-05-29;98;501;Nạp;1040000;TÀI KHOẢN TIỀN FINHAY
2023-05-30;99;331;Rút;650000;TÍCH LUỸ
2023-03-23;100;983;Nạp;650000;CHỨNG KHOÁN
2023-03-24;101;971;Rút;11700000;CHỨNG KHOÁN
2023-03-26;102;925;Nạp;1040000;TÍCH LUỸ
2023-03-27;103;896;Nạp;650000;CHỨNG KHOÁN
2023-03-29;104;927;Rút;1300000;TÍCH LUỸ
2023-03-30;105;795;Nạp;650000;TÍCH LUỸ
2023-03-31;106;912;Nạp;2600000;CHỨNG KHOÁN
2023-03-31;107;770;Rút;13000000;TÍCH LUỸ
2023-03-31;108;787;Nạp;1300000;TÍCH LUỸ
2023-03-31;109;807;Nạp;2600000;TÀI KHOẢN TIỀN FINHAY
2023-04-02;110;732;Nạp;1300000;CHỨNG KHOÁN
2023-04-03;111;695;Rút;650000;CHỨNG KHOÁN
2023-04-04;112;804;Nạp;1300000;CHỨNG KHOÁN
2023-04-04;113;849;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-04;114;670;Nạp;31200000;TÍCH LUỸ
2023-04-04;115;884;Nạp;1950000;TÍCH LUỸ
2023-04-05;116;775;Rút;1950000;CHỨNG KHOÁN
2023-04-05;117;749;Rút;650000;CHỨNG KHOÁN
2023-04-05;118;670;Nạp;6500000;CHỨNG KHOÁN
2023-04-06;119;680;Rút;6500000;CHỨNG KHOÁN
2023-04-06;120;903;Rút;652730;TÀI KHOẢN TIỀN FINHAY
2023-04-07;121;570;Rút;10400000;CHỨNG KHOÁN
2023-04-07;122;571;Nạp;1300000;CHỨNG KHOÁN
2023-04-07;123;921;Rút;2600000;CHỨNG KHOÁN
2023-04-07;124;613;Rút;325000;CHỨNG KHOÁN
2023-04-07;125;713;Rút;13000000;CHỨNG KHOÁN
2023-04-09;126;509;Rút;650000;CHỨNG KHOÁN
2023-04-09;127;530;Rút;1300000;TÀI KHOẢN TIỀN FINHAY
2023-04-10;128;861;Rút;130000000;TÀI KHOẢN TIỀN FINHAY
2023-04-11;129;744;Nạp;1300000;CHỨNG KHOÁN
2023-04-12;130;475;Rút;650000;CHỨNG KHOÁN
2023-04-12;131;592;Nạp;650000;CHỨNG KHOÁN
2023-04-12;132;445;Nạp;650000;CHỨNG KHOÁN
2023-04-12;133;530;Rút;884000;CHỨNG KHOÁN
2023-04-12;134;518;Nạp;687154;TÀI KHOẢN TIỀN FINHAY
2023-04-12;135;467;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-13;136;428;Nạp;1300000;CHỨNG KHOÁN
2023-04-13;137;394;Nạp;650000;CHỨNG KHOÁN
2023-04-14;138;868;Nạp;2600000;CHỨNG KHOÁN
2023-04-14;139;951;Rút;7585344;TÀI KHOẢN TIỀN FINHAY
2023-04-16;140;366;Rút;650000;CHỨNG KHOÁN
2023-04-16;141;339;Nạp;1300000;CHỨNG KHOÁN
2023-04-17;142;847;Rút;1950000;CHỨNG KHOÁN
2023-04-17;143;694;Rút;6500000;CHỨNG KHOÁN
2023-04-17;144;426;Rút;1287000;TÀI KHOẢN TIỀN FINHAY
2023-04-17;145;488;Rút;6500000;TÀI KHOẢN TIỀN FINHAY
2023-04-18;146;541;Rút;260000;CHỨNG KHOÁN
2023-04-18;147;283;Nạp;650000;CHỨNG KHOÁN
2023-04-18;148;283;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-18;149;307;Rút;650000;TÍCH LUỸ
2023-04-19;150;382;Nạp;650000;CHỨNG KHOÁN
2023-04-19;151;295;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-19;152;302;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-19;153;291;Nạp;822419;TÀI KHOẢN TIỀN FINHAY
2023-04-20;154;568;Nạp;3900000;CHỨNG KHOÁN
2023-04-20;155;341;Nạp;5200000;CHỨNG KHOÁN
2023-04-20;156;392;Rút;1299220;TÀI KHOẢN TIỀN FINHAY
2023-04-21;157;290;Rút;683761;CHỨNG KHOÁN
2023-04-21;158;965;Rút;12350000;CHỨNG KHOÁN
2023-04-21;159;729;Rút;5200000;CHỨNG KHOÁN
2023-04-21;160;300;Nạp;701272;TÀI KHOẢN TIỀN FINHAY
2023-04-21;161;910;Nạp;2782442;TÀI KHOẢN TIỀN FINHAY
2023-04-22;162;335;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-22;163;210;Nạp;650000;TÍCH LUỸ
2023-04-24;164;212;Rút;39000000;CHỨNG KHOÁN
2023-04-24;165;529;Rút;650000;CHỨNG KHOÁN
2023-04-24;166;750;Nạp;1008150;TÀI KHOẢN TIỀN FINHAY
2023-04-24;167;825;Nạp;25038000;TÀI KHOẢN TIỀN FINHAY
2023-04-25;168;165;Nạp;650000;CHỨNG KHOÁN
2023-04-25;169;707;Nạp;26000000;TÀI KHOẢN TIỀN FINHAY
2023-04-27;170;250;Nạp;858000;TÀI KHOẢN TIỀN FINHAY
2023-05-02;171;765;Nạp;1289951;TÀI KHOẢN TIỀN FINHAY
2023-05-03;172;77;Nạp;1300000;CHỨNG KHOÁN
2023-05-04;173;313;Rút;1300000;CHỨNG KHOÁN
2023-05-04;174;40;Rút;1300000;CHỨNG KHOÁN
2023-05-04;175;453;Nạp;1340339;TÀI KHOẢN TIỀN FINHAY
2023-05-04;176;716;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-05;177;31;Rút;650000;CHỨNG KHOÁN
2023-05-05;178;122;Rút;6500000;TÀI KHOẢN TIỀN FINHAY
2023-05-05;179;264;Nạp;10400000;TÀI KHOẢN TIỀN FINHAY
2023-05-06;180;15;Nạp;13000000;CHỨNG KHOÁN
2023-05-08;181;259;Nạp;650000;CHỨNG KHOÁN
2023-05-08;182;48;Nạp;13000000;CHỨNG KHOÁN
2023-05-08;183;369;Nạp;754;TÀI KHOẢN TIỀN FINHAY
2023-05-09;184;640;Rút;13000000;CHỨNG KHOÁN
2023-05-09;185;495;Rút;1219881;CHỨNG KHOÁN
2023-05-09;186;370;Rút;650000;CHỨNG KHOÁN
2023-05-10;187;73;Nạp;2600000;CHỨNG KHOÁN
2023-05-10;188;5;Rút;3250000;TÀI KHOẢN TIỀN FINHAY
2023-05-10;189;140;Nạp;1353755;TÀI KHOẢN TIỀN FINHAY
2023-05-10;190;369;Rút;3904914;TÀI KHOẢN TIỀN FINHAY
2023-05-12;191;624;Nạp;4247984;TÀI KHOẢN TIỀN FINHAY
2023-05-12;192;132;Nạp;36634468;TÀI KHOẢN TIỀN FINHAY
2023-05-12;193;465;Nạp;1324297;TÍCH LUỸ
2023-05-14;194;425;Rút;1300000;TÍCH LUỸ
2023-05-14;195;462;Rút;26000000;TÍCH LUỸ
2023-05-15;196;186;Rút;2847000;TÍCH LUỸ
2023-05-16;197;343;Rút;1266200;TÀI KHOẢN TIỀN FINHAY
2023-05-17;198;612;Rút;6711952;TÀI KHOẢN TIỀN FINHAY
2023-05-17;199;343;Rút;26714246;TÀI KHOẢN TIỀN FINHAY
2023-05-19;200;149;Rút;650000;CHỨNG KHOÁN
2023-05-19;201;544;Nạp;8309808;TÀI KHOẢN TIỀN FINHAY
2023-05-19;202;707;Nạp;19533579;TÀI KHOẢN TIỀN FINHAY
2023-05-23;203;247;Nạp;34053058;TÀI KHOẢN TIỀN FINHAY
2023-05-23;204;418;Rút;3900000;TÀI KHOẢN TIỀN FINHAY
2023-05-25;205;13;Rút;33305714;TÀI KHOẢN TIỀN FINHAY
2023-05-26;206;565;Rút;3554096;TÀI KHOẢN TIỀN FINHAY
2023-05-26;207;683;Nạp;3900000;TÀI KHOẢN TIỀN FINHAY
2023-05-28;208;465;Rút;1324297;TÀI KHOẢN TIỀN FINHAY
2023-05-29;209;719;Rút;4176081;TÀI KHOẢN TIỀN FINHAY
2023-05-30;210;433;Nạp;6500000;TÀI KHOẢN TIỀN FINHAY
2023-03-24;211;979;Rút;1300000;CHỨNG KHOÁN
2023-03-24;212;983;Rút;650000;CHỨNG KHOÁN
2023-03-26;213;934;Nạp;130000;CHỨNG KHOÁN
2023-03-27;214;953;Rút;130000;CHỨNG KHOÁN
2023-03-28;215;864;Rút;650000;CHỨNG KHOÁN
2023-03-29;216;845;Nạp;2600000;CHỨNG KHOÁN
2023-03-29;217;958;Nạp;656994;TÀI KHOẢN TIỀN FINHAY
2023-03-29;218;994;Nạp;679250;TÀI KHOẢN TIỀN FINHAY
2023-03-31;219;784;Nạp;650000;CHỨNG KHOÁN
2023-03-31;220;925;Rút;1040000;TÀI KHOẢN TIỀN FINHAY
2023-04-02;221;757;Nạp;650000;CHỨNG KHOÁN
2023-04-02;222;907;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-03;223;845;Rút;3900000;CHỨNG KHOÁN
2023-04-03;224;779;Nạp;650000;CHỨNG KHOÁN
2023-04-03;225;986;Rút;1300000;CHỨNG KHOÁN
2023-04-04;226;716;Nạp;650000;CHỨNG KHOÁN
2023-04-04;227;677;Rút;650000;CHỨNG KHOÁN
2023-04-04;228;672;Nạp;650000;CHỨNG KHOÁN
2023-04-05;229;792;Rút;6500000;CHỨNG KHOÁN
2023-04-05;230;670;Rút;13000000;CHỨNG KHOÁN
2023-04-05;231;708;Rút;12941747;TÀI KHOẢN TIỀN FINHAY
2023-04-06;232;923;Rút;1950000;CHỨNG KHOÁN
2023-04-06;233;707;Nạp;13000000;CHỨNG KHOÁN
2023-04-06;234;592;Nạp;650000;CHỨNG KHOÁN
2023-04-06;235;791;Rút;13000000;TÀI KHOẢN TIỀN FINHAY
2023-04-06;236;579;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-06;237;991;Nạp;8576932;TÀI KHOẢN TIỀN FINHAY
2023-04-06;238;682;Nạp;27950000;TÍCH LUỸ
2023-04-07;239;551;Nạp;650000;CHỨNG KHOÁN
2023-04-07;240;612;Rút;1937000;CHỨNG KHOÁN
2023-04-07;241;556;Rút;1300000;CHỨNG KHOÁN
2023-04-07;242;781;Nạp;5863000;CHỨNG KHOÁN
2023-04-08;243;979;Rút;12375753;TÀI KHOẢN TIỀN FINHAY
2023-04-08;244;847;Rút;658645;TÍCH LUỸ
2023-04-09;245;518;Nạp;689000;CHỨNG KHOÁN
2023-04-09;246;625;Nạp;39000000;TÍCH LUỸ
2023-04-09;247;748;Rút;7800000;TÍCH LUỸ
2023-04-10;248;480;Rút;390000;CHỨNG KHOÁN
2023-04-10;249;707;Nạp;13000000;CHỨNG KHOÁN
2023-04-10;250;536;Nạp;1300000;CHỨNG KHOÁN
2023-04-11;251;469;Rút;3900000;CHỨNG KHOÁN
2023-04-11;252;987;Rút;650000;CHỨNG KHOÁN
2023-04-11;253;851;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-12;254;481;Rút;390000;CHỨNG KHOÁN
2023-04-12;255;435;Nạp;650000;CHỨNG KHOÁN
2023-04-12;256;428;Nạp;1300000;CHỨNG KHOÁN
2023-04-12;257;432;Rút;6500000;CHỨNG KHOÁN
2023-04-12;258;447;Rút;1300000;CHỨNG KHOÁN
2023-04-12;259;432;Rút;6500000;TÀI KHOẢN TIỀN FINHAY
2023-04-12;260;451;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-13;261;746;Nạp;6500000;CHỨNG KHOÁN
2023-04-13;262;510;Rút;14074307;TÀI KHOẢN TIỀN FINHAY
2023-04-13;263;976;Nạp;1300000;TÀI KHOẢN TIỀN FINHAY
2023-04-14;264;434;Rút;624000;CHỨNG KHOÁN
2023-04-15;265;522;Nạp;1300000;CHỨNG KHOÁN
2023-04-16;266;334;Rút;1300000;CHỨNG KHOÁN
2023-04-16;267;360;Nạp;13000000;CHỨNG KHOÁN
2023-04-16;268;390;Rút;130000;CHỨNG KHOÁN
2023-04-16;269;345;Rút;1300000;CHỨNG KHOÁN
2023-04-17;270;608;Nạp;1430000;CHỨNG KHOÁN
2023-04-17;271;348;Nạp;650000;CHỨNG KHOÁN
2023-04-17;272;852;Nạp;689000;TÀI KHOẢN TIỀN FINHAY
2023-04-17;273;319;Nạp;6500000;TÍCH LUỸ
2023-04-18;274;833;Rút;6500000;CHỨNG KHOÁN
2023-04-18;275;742;Nạp;650000;CHỨNG KHOÁN
2023-04-18;276;888;Rút;650000;TÍCH LUỸ
2023-04-19;277;879;Rút;652613;TÀI KHOẢN TIỀN FINHAY
2023-04-20;278;250;Nạp;650000;CHỨNG KHOÁN
2023-04-20;279;388;Nạp;650000;CHỨNG KHOÁN
2023-04-20;280;492;Rút;1300000;CHỨNG KHOÁN
2023-04-20;281;550;Nạp;13000000;CHỨNG KHOÁN
2023-04-20;282;271;Nạp;6500000;TÀI KHOẢN TIỀN FINHAY
2023-04-21;283;246;Rút;2600000;CHỨNG KHOÁN
2023-04-21;284;247;Rút;1487720;CHỨNG KHOÁN
2023-04-21;285;615;Rút;650000;CHỨNG KHOÁN
2023-04-21;286;255;Nạp;1300000;CHỨNG KHOÁN
2023-04-21;287;410;Nạp;2600000;CHỨNG KHOÁN
2023-04-21;288;503;Rút;1274000;TÀI KHOẢN TIỀN FINHAY
2023-04-22;289;290;Rút;683371;CHỨNG KHOÁN
2023-04-22;290;210;Rút;650000;CHỨNG KHOÁN
2023-04-22;291;926;Nạp;5850000;TÀI KHOẢN TIỀN FINHAY
2023-04-22;292;297;Nạp;1248585;TÀI KHOẢN TIỀN FINHAY
2023-04-22;293;881;Rút;9750000;TÍCH LUỸ
2023-04-23;294;224;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-24;295;176;Rút;650000;CHỨNG KHOÁN
2023-04-24;296;244;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-25;297;164;Nạp;1300000;CHỨNG KHOÁN
2023-04-26;298;151;Nạp;1300000;CHỨNG KHOÁN
2023-04-26;299;925;Nạp;2600000;CHỨNG KHOÁN
2023-04-27;300;265;Rút;1300000;CHỨNG KHOÁN
2023-04-27;301;639;Rút;1304862;TÀI KHOẢN TIỀN FINHAY
2023-04-28;302;497;Nạp;260000;CHỨNG KHOÁN
2023-04-29;303;108;Rút;650000;CHỨNG KHOÁN
2023-04-29;304;106;Nạp;6500000;TÀI KHOẢN TIỀN FINHAY
2023-05-01;305;89;Rút;650000;CHỨNG KHOÁN
2023-05-01;306;111;Nạp;650000;CHỨNG KHOÁN
2023-05-02;307;74;Rút;1300000;CHỨNG KHOÁN
2023-05-02;308;775;Nạp;13000000;TÀI KHOẢN TIỀN FINHAY
2023-05-02;309;487;Rút;1300000;TÍCH LUỸ
2023-05-03;310;650;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-04;311;134;Rút;130000;CHỨNG KHOÁN
2023-05-04;312;775;Nạp;13000000;CHỨNG KHOÁN
2023-05-04;313;32;Nạp;5200000;CHỨNG KHOÁN
2023-05-04;314;147;Rút;1300000;CHỨNG KHOÁN
2023-05-04;315;84;Nạp;3900000;CHỨNG KHOÁN
2023-05-04;316;63;Rút;6500000;CHỨNG KHOÁN
2023-05-04;317;49;Rút;1300000;TÀI KHOẢN TIỀN FINHAY
2023-05-04;318;319;Nạp;6500000;TÍCH LUỸ
2023-05-05;319;55;Nạp;1300000;CHỨNG KHOÁN
2023-05-05;320;218;Rút;1183000;CHỨNG KHOÁN
2023-05-05;321;84;Nạp;2600000;CHỨNG KHOÁN
2023-05-05;322;103;Rút;1300000;CHỨNG KHOÁN
2023-05-05;323;512;Nạp;13000000;CHỨNG KHOÁN
2023-05-05;324;308;Nạp;5415943;TÀI KHOẢN TIỀN FINHAY
2023-05-06;325;36;Rút;6500000;CHỨNG KHOÁN
2023-05-08;326;151;Nạp;1300013;CHỨNG KHOÁN
2023-05-08;327;369;Rút;3900000;CHỨNG KHOÁN
2023-05-08;328;13;Nạp;6500000;CHỨNG KHOÁN
2023-05-08;329;119;Nạp;5282121;TÀI KHOẢN TIỀN FINHAY
2023-05-08;330;640;Rút;6500000;TÀI KHOẢN TIỀN FINHAY
2023-05-09;331;134;Nạp;7020000;TÀI KHOẢN TIỀN FINHAY
2023-05-10;332;23;Rút;650000;CHỨNG KHOÁN
2023-05-10;333;9;Rút;2600000;CHỨNG KHOÁN
2023-05-10;334;5;Nạp;3250000;CHỨNG KHOÁN
2023-05-10;335;15;Nạp;23274095;TÀI KHOẢN TIỀN FINHAY
2023-05-10;336;74;Nạp;1300000;TÀI KHOẢN TIỀN FINHAY
2023-05-10;337;849;Nạp;6409000;TÀI KHOẢN TIỀN FINHAY
2023-05-10;338;197;Nạp;13000000;TÍCH LUỸ
2023-05-11;339;235;Rút;3250000;CHỨNG KHOÁN
2023-05-12;340;438;Rút;7800000;CHỨNG KHOÁN
2023-05-12;341;84;Rút;33486609;TÀI KHOẢN TIỀN FINHAY
2023-05-12;342;778;Rút;5869825;TÀI KHOẢN TIỀN FINHAY
2023-05-13;343;117;Nạp;650000;CHỨNG KHOÁN
2023-05-13;344;174;Rút;1872000;TÍCH LUỸ
2023-05-14;345;15;Nạp;33743424;TÀI KHOẢN TIỀN FINHAY
2023-05-14;346;274;Rút;1300000;TÀI KHOẢN TIỀN FINHAY
2023-05-15;347;218;Rút;6713850;CHỨNG KHOÁN
2023-05-15;348;384;Rút;733291;TÀI KHOẢN TIỀN FINHAY
2023-05-16;349;645;Nạp;754000;TÀI KHOẢN TIỀN FINHAY
2023-05-17;350;26;Rút;6500000;TÀI KHOẢN TIỀN FINHAY
2023-05-17;351;98;Nạp;657124;TÀI KHOẢN TIỀN FINHAY
2023-05-18;352;331;Rút;650000;CHỨNG KHOÁN
2023-05-22;353;301;Rút;91307814;TÀI KHOẢN TIỀN FINHAY
2023-05-23;354;489;Rút;3253211;TÀI KHOẢN TIỀN FINHAY
2023-05-25;355;515;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-05-26;356;640;Rút;16291223;TÀI KHOẢN TIỀN FINHAY
2023-05-26;357;692;Rút;1509586;TÀI KHOẢN TIỀN FINHAY
2023-05-28;358;274;Nạp;6500000;TÀI KHOẢN TIỀN FINHAY
2023-03-24;359;984;Rút;1300000;TÍCH LUỸ
2023-03-26;360;928;Nạp;650000;CHỨNG KHOÁN
2023-03-27;361;991;Nạp;1417884;CHỨNG KHOÁN
2023-03-27;362;910;Rút;1300000;CHỨNG KHOÁN
2023-03-27;363;885;Rút;1300000;CHỨNG KHOÁN
2023-03-28;364;872;Nạp;650000;CHỨNG KHOÁN
2023-03-28;365;979;Nạp;18200000;CHỨNG KHOÁN
2023-03-28;366;874;Nạp;650000;TÍCH LUỸ
2023-03-29;367;957;Rút;6500000;CHỨNG KHOÁN
2023-03-29;368;855;Rút;650000;CHỨNG KHOÁN
2023-03-29;369;864;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-03-30;370;898;Nạp;2600000;CHỨNG KHOÁN
2023-03-31;371;924;Rút;650000;CHỨNG KHOÁN
2023-04-02;372;727;Nạp;2600000;TÀI KHOẢN TIỀN FINHAY
2023-04-02;373;733;Rút;39000000;TÍCH LUỸ
2023-04-03;374;720;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-04;375;980;Rút;6500000;CHỨNG KHOÁN
2023-04-06;376;664;Nạp;650000;CHỨNG KHOÁN
2023-04-06;377;942;Rút;1300000;CHỨNG KHOÁN
2023-04-06;378;807;Nạp;260000;CHỨNG KHOÁN
2023-04-07;379;629;Nạp;1170000;CHỨNG KHOÁN
2023-04-07;380;564;Rút;650000;CHỨNG KHOÁN
2023-04-07;381;555;Rút;650000;TÀI KHOẢN TIỀN FINHAY
2023-04-07;382;754;Rút;1372709;TÀI KHOẢN TIỀN FINHAY
2023-04-07;383;669;Rút;650000;TÍCH LUỸ
2023-04-08;384;692;Nạp;650000;CHỨNG KHOÁN
2023-04-08;385;540;Rút;650000;CHỨNG KHOÁN
2023-04-09;386;718;Nạp;13000000;TÍCH LUỸ
2023-04-10;387;480;Rút;260000;CHỨNG KHOÁN
2023-04-10;388;676;Rút;2600000;CHỨNG KHOÁN
2023-04-10;389;808;Rút;1300000;CHỨNG KHOÁN
2023-04-10;390;501;Rút;650000;CHỨNG KHOÁN
2023-04-10;391;505;Rút;2600000;TÀI KHOẢN TIỀN FINHAY
2023-04-10;392;490;Nạp;1300000;TÍCH LUỸ
2023-04-11;393;539;Rút;260000;CHỨNG KHOÁN
2023-04-11;394;464;Nạp;1300000;CHỨNG KHOÁN
2023-04-11;395;466;Nạp;650000;CHỨNG KHOÁN
2023-04-11;396;461;Rút;650000;CHỨNG KHOÁN
2023-04-11;397;477;Nạp;650000;TÀI KHOẢN TIỀN FINHAY
